"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"Mondelez","MDLZ","52.65","52.95","52.50","-0.06","-0.11%","6.33M","15:59:59"
"Monster Beverage","MNST","56.20","56.50","55.85","+0.26","+0.46%","1.47M","15:59:59"
"Mylan","MYL","18.53","18.69","18.01","+0.21","+1.17%","4.89M","15:59:59"
"NetApp","NTAP","56.01","56.12","55.12","+0.83","+1.50%","1.67M","15:59:59"
"NetEase","NTES","270.85","274.86","268.98","-3.41","-1.24%","884.25K","15:59:59"
"Netflix","NFLX","271.27","273.92","266.63","+4.58","+1.72%","7.12M","15:59:59"
"NVIDIA","NVDA","195.09","195.66","191.03","-0.52","-0.27%","6.95M","15:59:59"
"NXP","NXPI","103.21","105.49","101.89","-4.57","-4.24%","5.69M","15:59:59"
"O’Reilly Automotive","ORLY","400.53","402.05","397.14","+0.13","+0.03%","636.84K","15:59:59"
"PACCAR","PCAR","75.11","76.00","74.30","-1.26","-1.65%","2.86M","15:59:59"
"Paychex","PAYX","84.07","84.09","83.07","+0.80","+0.96%","1.49M","15:59:59"
"PayPal Holdings Inc","PYPL","96.64","97.60","94.77","-0.72","-0.74%","15.38M","15:59:59"
"PepsiCo","PEP","137.45","137.50","136.61","+0.79","+0.58%","2.30M","15:59:59"
"Qualcomm","QCOM","77.24","78.13","76.87","-1.23","-1.57%","5.77M","15:59:59"
"Regeneron Pharma","REGN","305.02","307.07","299.47","+3.71","+1.23%","535.99K","15:59:59"
"Ross Stores","ROST","109.89","112.22","109.67","-2.01","-1.80%","1.46M","15:59:59"
"Sirius XM","SIRI","6.450","6.470","6.400","+0.050","+0.78%","12.61M","15:59:59"
"Skyworks","SWKS","89.29","89.66","87.31","+0.33","+0.37%","1.35M","15:59:59"
"Starbucks","SBUX","82.74","84.41","82.13","-0.72","-0.86%","6.73M","15:59:59"
"Symantec","SYMC","23.01","23.14","22.73","-0.14","-0.60%","2.93M","15:59:59"
"Synopsys","SNPS","133.96","134.79","131.62","+1.84","+1.39%","636.23K","15:59:59"
"T-Mobile US","TMUS","81.36","81.75","81.07","-0.31","-0.38%","1.16M","15:59:59"
"Take-Two","TTWO","122.68","123.91","121.46","+0.69","+0.57%","830.43K","15:59:59"
"Tesla","TSLA","254.68","256.14","251.35","-0.90","-0.35%","5.20M","15:59:59"
"Texas Instruments","TXN","118.95","121.62","115.87","-9.62","-7.48%","18.43M","15:59:59"
"Ulta Beauty","ULTA","237.87","238.24","231.08","+0.96","+0.41%","951.61K","15:59:59"
"United Airlines Holdings","UAL","89.90","90.17","88.95","+0.19","+0.21%","1.64M","15:59:59"
"VeriSign","VRSN","182.76","183.36","181.14","+1.15","+0.63%","347.73K","15:59:59"
"Verisk","VRSK","148.63","151.94","147.71","-2.39","-1.58%","1.54M","15:59:59"
"Vertex","VRTX","190.51","192.54","186.41","-0.55","-0.29%","1.54M","15:59:59"
"Walgreens Boots","WBA","54.56","54.69","53.55","-0.76","-1.37%","4.55M","15:59:59"
"Western Digital","WDC","57.65","58.13","56.88","-1.21","-2.06%","3.32M","15:59:59"
"Willis Towers Watson","WLTW","184.77","189.37","184.44","-4.01","-2.12%","542.78K","15:59:59"
"Workday","WDAY","152.29","157.17","151.97","-0.73","-0.48%","2.70M","15:59:59"
"Wynn Resorts","WYNN","115.86","116.95","114.00","+0.16","+0.14%","878.33K","15:59:59"
"Xcel Energy","XEL","64.44","64.59","64.11","+0.23","+0.36%","3.30M","15:59:59"
"Xilinx","XLNX","93.83","95.39","93.31","-2.15","-2.24%","5.39M","15:59:59"
