"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","106.63","101.00","107.04","100.95","4.38M","7.40%"
"Oct 22, 2019","99.28","101.99","103.73","98.74","2.46M","-1.44%"
"Oct 21, 2019","100.73","100.00","101.36","98.53","1.80M","2.36%"
"Oct 18, 2019","98.41","100.29","100.45","97.58","1.62M","-1.58%"
"Oct 17, 2019","99.99","101.20","101.79","99.47","1.44M","0.48%"
"Oct 16, 2019","99.51","102.80","104.90","99.41","2.70M","-5.06%"
"Oct 15, 2019","104.81","101.60","105.13","101.50","1.77M","3.42%"
"Oct 14, 2019","101.34","99.50","103.14","98.73","2.04M","2.11%"
"Oct 11, 2019","99.25","99.13","101.16","98.92","1.18M","0.92%"
"Oct 10, 2019","98.35","95.30","98.46","94.66","1.37M","3.70%"
"Oct 09, 2019","94.84","96.46","96.99","94.59","1.74M","-1.00%"
"Oct 08, 2019","95.80","97.16","97.18","95.50","1.49M","-1.59%"
"Oct 07, 2019","97.35","98.17","98.87","96.62","1.27M","-0.69%"
"Oct 04, 2019","98.03","99.26","99.85","96.68","1.51M","-1.15%"
"Oct 03, 2019","99.17","97.01","99.40","96.63","1.55M","1.73%"
"Oct 02, 2019","97.48","97.26","98.52","95.02","1.43M","-0.32%"
"Oct 01, 2019","97.79","98.58","98.99","96.41","1.85M","-0.15%"
"Sep 30, 2019","97.94","98.27","99.07","97.51","1.43M","0.17%"
"Sep 27, 2019","97.77","98.76","100.77","97.44","1.52M","-0.94%"
"Sep 26, 2019","98.70","101.60","101.60","96.55","1.97M","-1.69%"
"Sep 25, 2019","100.40","100.26","101.95","99.00","1.64M","0.08%"
"Sep 24, 2019","100.32","105.44","105.92","100.16","2.38M","-4.11%"
"Sep 23, 2019","104.62","106.39","107.00","104.52","1.95M","-1.60%"
"Sep 20, 2019","106.32","105.15","106.96","104.07","2.60M","0.62%"
"Sep 19, 2019","105.67","103.65","106.26","103.26","2.22M","2.61%"
"Sep 18, 2019","102.98","106.90","107.82","102.17","3.53M","-4.50%"
"Sep 17, 2019","107.83","108.86","109.23","107.73","1.45M","-0.65%"
"Sep 16, 2019","108.54","106.66","109.42","106.45","2.06M","1.06%"
"Sep 13, 2019","107.40","109.33","109.74","107.23","1.89M","-0.79%"
"Sep 12, 2019","108.26","110.14","110.64","107.91","2.36M","-0.59%"
"Sep 11, 2019","108.90","109.87","110.36","106.50","1.95M","-0.64%"
"Sep 10, 2019","109.60","106.02","110.24","106.02","3.80M","3.01%"
"Sep 09, 2019","106.40","103.95","106.75","102.50","2.49M","2.47%"
"Sep 06, 2019","103.84","100.10","104.07","100.10","3.05M","3.55%"
"Sep 05, 2019","100.28","98.68","101.64","98.41","2.51M","2.82%"
"Sep 04, 2019","97.53","95.95","100.05","95.56","3.71M","2.47%"
"Sep 03, 2019","95.18","100.26","100.38","94.93","6.29M","-5.54%"
"Aug 30, 2019","100.76","103.00","104.92","98.94","8.55M","-10.17%"
"Aug 29, 2019","112.17","112.99","114.21","110.86","1.60M","0.81%"
"Aug 28, 2019","111.27","109.53","113.29","109.53","1.56M","1.01%"
"Aug 27, 2019","110.16","112.78","113.50","109.94","1.79M","-1.34%"
"Aug 26, 2019","111.66","112.00","113.38","109.60","4.04M","-3.18%"
"Aug 23, 2019","115.33","123.12","124.02","114.93","5.25M","-6.61%"
"Aug 22, 2019","123.49","115.16","125.52","112.57","7.29M","7.53%"
"Aug 21, 2019","114.84","112.50","114.93","112.23","2.56M","3.06%"
"Aug 20, 2019","111.43","112.56","113.91","111.40","1.84M","-1.11%"
"Aug 19, 2019","112.68","113.06","114.15","111.70","2.03M","1.65%"
"Aug 16, 2019","110.85","110.27","111.41","109.57","1.25M","1.66%"
"Aug 15, 2019","109.04","107.84","110.01","107.61","1.73M","1.29%"
"Aug 14, 2019","107.65","110.04","110.81","107.61","1.77M","-3.43%"
